Drill Listing
=============
Drill: .015  Tool: 1  Feed: 95  Speed: 300
X -408071  Y -497994
X -362768  Y -449286
X -380150  Y -440563
X -390811  Y -424949
X -382565  Y -391920
X -363340  Y -380670
X -381905  Y -370070
X -364450  Y -354040
X -398784  Y -302118
X -386964  Y -228856
X -347496  Y -313921
X -347114  Y -330127
X -340699  Y -336244
X -331940  Y -347624
X -343317  Y -373940
X -332375  Y -444398
X -322962  Y -448710
X -343238  Y -453616
X -309505  Y -502658
X -309071  Y -456543
X -287025  Y -448007
X -302165  Y -445043
X -297124  Y -442195
X -300737  Y -438686
X -303790  Y -435834
X -297220  Y -434436
X -303959  Y -431081
X -303780  Y -426327
X -303776  Y -422453
X -301836  Y -416627
X -290927  Y -411581
X -299675  Y -410955
X -296828  Y -402952
X -309071  Y -402224
X -292997  Y -400913
X -306000  Y -397000
X -289737  Y -396089
X -293253  Y -376902
X -304666  Y -376902
X -303243  Y -350229
X -310914  Y -346665
X -307426  Y -339602
X -307110  Y -318331
X -304214  Y -303956
X -264000  Y -257000
X -268837  Y -265187
X -271703  Y -289939
X -262253  Y -312226
X -272216  Y -332664
X -270471  Y -336244
X -266190  Y -339602
X -280963  Y -358504
X -275548  Y -362312
X -269559  Y -362623
X -278270  Y -365867
X -262704  Y -366084
X -277000  Y -383578
X -270129  Y -383901
X -266498  Y -386745
X -286740  Y -389590
X -266752  Y -392648
X -280558  Y -399232
X -270486  Y -408854
X -271207  Y -454375
X -239918  Y -460191
X -237070  Y -454375
X -237933  Y -417248
X -259371  Y -386909
X -241725  Y -386654
X -254379  Y -369330
X -259799  Y -361930
X -243627  Y -361141
X -249786  Y -357104
X -246931  Y -353121
X -257361  Y -353088
X -240468  Y -350563
X -244636  Y -349651
X -248268  Y -346665
X -261449  Y -343265
X -253017  Y -342744
X -257576  Y -342273
X -257576  Y -334304
X -251920  Y -280897
X -251790  Y -253767
X -219614  Y -253305
X -218677  Y -296091
X -225573  Y -341356
X -217156  Y -351613
X -216640  Y -355501
X -223860  Y -356048
X -233167  Y -389930
X -215985  Y -390348
X -225837  Y -391532
X -219393  Y -394955
X -222659  Y -397829
X -228787  Y -406781
X -226000  Y -437000
X -225000  Y -445000
X -224386  Y -449163
X -214887  Y -503427
X -205852  Y -423437
X -205891  Y -406354
X -205555  Y -385788
X -193069  Y -384455
X -188805  Y -360293
X -187096  Y -350453
X -187945  Y -345726
X -196412  Y -341127
X -211040  Y -332746
X -206077  Y -328798
X -199981  Y -322481
X -209244  Y -319670
X -191579  Y -309172
X -193142  Y -272583
X -203142  Y -248424
X -199993  Y -244268
X -162882  Y -248486
X -171318  Y -253305
X -162599  Y -263337
X -168142  Y -292174
X -173142  Y -296647
X -182712  Y -309136
X -172183  Y -315948
X -167625  Y -326097
X -163852  Y -329032
X -168730  Y -332147
X -185517  Y -364537
X -184862  Y -370264
X -185442  Y -397228
X -165681  Y -422029
X -183550  Y -429497
X -170000  Y -447000
X -184174  Y -448783
X -182986  Y -462848
X -183679  Y -496887
X -177115  Y -503189
X -157000  Y -447000
X -127000  Y -426000
X -154383  Y -422602
X -113000  Y -410000
X -154383  Y -398198
X -122336  Y -336631
X -159945  Y -326970
X -147869  Y -315185
X -125992  Y -283636
X -125775  Y -272525
X -82102  Y -258146
X -86694  Y -268998
X -102483  Y -285149
X -62534  Y -285896
X -83106  Y -286728
X -68497  Y -301637
X -88497  Y -302094
X -72856  Y -303061
X -78497  Y -303491
X -84715  Y -306734
X -93497  Y -307464
X -109705  Y -317275
X -79184  Y -323491
X -91000  Y -324000
X -83529  Y -326352
X -62525  Y -338202
X -94444  Y -346000
X -99444  Y -370831
X -105000  Y -456000
X -105000  Y -469000
X -50000  Y -468000
X -38934  Y -448012
X -48552  Y -364710
X -55602  Y -335753
X -55475  Y -320655
X -60552  Y -320612
X -55382  Y -307350
X -58497  Y -304528
X -43497  Y -302246
X -45753  Y -291546
X -52050  Y -288514
X -42725  Y -285559
X -55692  Y -285037
X -48497  Y -284977
X -2414  Y -228290
X -14000  Y -364214
X -24475  Y -397233
X -21662  Y -509849
X -18517  Y -515406

Drill: .035  Tool: 2  Feed: 197  Speed: 550
X -208019  Y -367082
X -208019  Y -357082
X -141148  Y -250472
X -151148  Y -250472
X -121148  Y -250472
X -131148  Y -250472
X -148203  Y -334920
X -148203  Y -344920
X -129469  Y -345212
X -148203  Y -354920
X -129469  Y -355212
X -129469  Y -365212
X -95282  Y -439698
X -95282  Y -429698
X -95282  Y -419698
X -75172  Y -388701
X -75172  Y -378701
X -75172  Y -368701
X -97685  Y -335668
X -77999  Y -335668
X -67534  Y -250486
X -81148  Y -250472
X -101148  Y -250472
X -111148  Y -250472
X -91148  Y -250472
X -37534  Y -250486
X -47534  Y -250486
X -57534  Y -250486
X -17534  Y -250486
X -27534  Y -250486
X -57791  Y -365014
X -35345  Y -367288
X -57791  Y -375014
X -35345  Y -377288
X 278  Y -474089
X 278  Y -454089
X 1814  Y -436748
X 1814  Y -426748
X 1814  Y -416748
X 1814  Y -406748
X 1814  Y -396748
X 1814  Y -386748
X 1814  Y -376748
X 1814  Y -366748
X 2703  Y -344005
X 2703  Y -334005
X 2703  Y -324005
X 2703  Y -314005
X 2703  Y -304005
X 2703  Y -294005
X 2703  Y -284005
X 2703  Y -274005
X 2465  Y -250486
X -7534  Y -250486

Drill: .037  Tool: 3  Feed: 197  Speed: 550
X -401766  Y -406018
X -411766  Y -406018
X -401766  Y -396018
X -411766  Y -396018
X -401766  Y -386018
X -411766  Y -386018
X -401766  Y -376018
X -411766  Y -376018
X -401766  Y -366018
X -411766  Y -366018
X -401766  Y -356018
X -411766  Y -356018
X -401766  Y -346018
X -411766  Y -346018
X -401766  Y -336018
X -411766  Y -336018
X -401766  Y -326018
X -411766  Y -326018
X -401766  Y -316018
X -411766  Y -316018
X -370344  Y -263464
X -337944  Y -263464
X -348744  Y -263464
X -359544  Y -263464
X -354144  Y -274864
X -375744  Y -274864
X -364944  Y -274864
X -343344  Y -274864
X -177914  Y -415235
X -167914  Y -415235
X -167914  Y -405235
X -177914  Y -405235
X -177914  Y -395235
X -167914  Y -395235
X -177914  Y -385235
X -167914  Y -385235
X -177914  Y -375235
X -167914  Y -375235
X -177914  Y -365235
X -167914  Y -365235
X -167914  Y -355235
X -177914  Y -355235
X -167914  Y -345235
X -177914  Y -345235
X -332544  Y -274864
X -155835  Y -277885
X -145835  Y -277885
X -155835  Y -287885
X -145835  Y -287885
X -155835  Y -297885
X -145835  Y -297885
X -155835  Y -307885
X -145835  Y -307885

Drill: .03937  Tool: 4  Feed: 197  Speed: 550
X -27176  Y -503121
X -9853  Y -503121

Drill: .04724  Tool: 5  Feed: 139  Speed: 550
X -298632  Y -269164 X -309656  Y -269164
X -398632  Y -269164 X -409656  Y -269164

End of Listing
